"id","online_service_challenges"
55,"Absence of ambience of a gym/studio and fellow members in online mode"
55,"I don't have access to right kind of space to practice regularly"
55,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
56,"I don’t think online training is effective"
56,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
57,"I don't have access to right kind of space to practice regularly"
58,"I think it's effective. There are very good free courses on YouTube. I do yoga following a teacher on YouTube. I don't see why I should pay for an online course when it's freely available and is of good quality. I'm willing to consider paying for an offline experience though. Just that there is not enough motivation or time for considering that actively."
59,"I don’t think online training is effective"
60,"I don’t think online training is effective"
60,"I don't want to invest in buying any accessories at home"
60,"I don't have access to right kind of space to practice regularly"
60,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
61,"Absence of ambience of a gym/studio and fellow members in online mode"
61,"I don't want to invest in buying any accessories at home"
61,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
62,"I don’t think online training is effective"
62,"I don't have access to right kind of space to practice regularly"
62,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
63,"I don’t think online training is effective"
63,"Absence of ambience of a gym/studio and fellow members in online mode"
63,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
64,"Absence of ambience of a gym/studio and fellow members in online mode"
64,"I don't have access to right kind of space to practice regularly"
64,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
65,"Absence of ambience of a gym/studio and fellow members in online mode"
65,"I don't want to invest in buying any accessories at home"
65,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
66,"Absence of ambience of a gym/studio and fellow members in online mode"
66,"I don't have access to right kind of space to practice regularly"
67,"Absence of ambience of a gym/studio and fellow members in online mode"
68,"I don't want to invest in buying any accessories at home"
69,"Absence of ambience of a gym/studio and fellow members in online mode"
70,"I don't want to invest in buying any accessories at home"
71,"I don’t think online training is effective"
72,"I don’t think online training is effective"
73,"Currently outdoor preferred"
74,"I don’t think online training is effective"
75,"I don’t think online training is effective"
75,"Absence of ambience of a gym/studio and fellow members in online mode"
76,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
77,"I don't want to invest in buying any accessories at home"
78,"I don’t think online training is effective"
78,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
79,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
80,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
81,"For me walking is better"
82,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
83,"Absence of ambience of a gym/studio and fellow members in online mode"
83,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
84,"I don’t think online training is effective"
84,"I don't want to invest in buying any accessories at home"
85,"I don't want to invest in buying any accessories at home"
85,"I don't have access to right kind of space to practice regularly"
85,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
86,"I don’t think online training is effective"
86,"Absence of ambience of a gym/studio and fellow members in online mode"
86,"I don't want to invest in buying any accessories at home"
86,"I don't have access to right kind of space to practice regularly"
86,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
87,"I don’t think online training is effective"
87,"Absence of ambience of a gym/studio and fellow members in online mode"
87,"I don't want to invest in buying any accessories at home"
87,"I don't have access to right kind of space to practice regularly"
87,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
88,"I don’t think online training is effective"
88,"Absence of ambience of a gym/studio and fellow members in online mode"
88,"I don't want to invest in buying any accessories at home"
88,"I don't have access to right kind of space to practice regularly"
89,"I don’t think online training is effective"
89,"I don't want to invest in buying any accessories at home"
89,"I don't have access to right kind of space to practice regularly"
89,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
90,"I don’t think online training is effective"
90,"I don't want to invest in buying any accessories at home"
90,"I don't have access to right kind of space to practice regularly"
90,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
91,"I don’t think online training is effective"
91,"Absence of ambience of a gym/studio and fellow members in online mode"
91,"I don't want to invest in buying any accessories at home"
91,"I don't have access to right kind of space to practice regularly"
92,"Absence of ambience of a gym/studio and fellow members in online mode"
92,"I don't want to invest in buying any accessories at home"
92,"I don't have access to right kind of space to practice regularly"
92,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
93,"I don’t think online training is effective"
93,"Absence of ambience of a gym/studio and fellow members in online mode"
93,"I don't have access to right kind of space to practice regularly"
93,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
94,"Absence of ambience of a gym/studio and fellow members in online mode"
94,"I don't have access to right kind of space to practice regularly"
94,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
95,"I don't want to invest in buying any accessories at home"
96,"I don’t think online training is effective"
96,"Absence of ambience of a gym/studio and fellow members in online mode"
96,"I don't want to invest in buying any accessories at home"
96,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
97,"I don’t think online training is effective"
97,"Absence of ambience of a gym/studio and fellow members in online mode"
97,"I don't want to invest in buying any accessories at home"
97,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
98,"I don’t think online training is effective"
98,"Absence of ambience of a gym/studio and fellow members in online mode"
98,"I don't want to invest in buying any accessories at home"
98,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
99,"I don’t think online training is effective"
100,"Absence of ambience of a gym/studio and fellow members in online mode"
101,"I don't have access to right kind of space to practice regularly"
102,"I don’t think online training is effective"
102,"Absence of ambience of a gym/studio and fellow members in online mode"
103,"I don’t think online training is effective"
104,"I don't want to invest in buying any accessories at home"
105,"I don’t think online training is effective"
105,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
106,"I don’t think online training is effective"
107,"I don't have access to right kind of space to practice regularly"
108,"Absence of ambience of a gym/studio and fellow members in online mode"
108,"I don't want to invest in buying any accessories at home"
109,"I don’t think online training is effective"
109,"Absence of ambience of a gym/studio and fellow members in online mode"
109,"I don't want to invest in buying any accessories at home"
110,"I don't want to invest in buying any accessories at home"
110,"I don't have access to right kind of space to practice regularly"
111,"Absence of ambience of a gym/studio and fellow members in online mode"
112,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
113,"I don’t think online training is effective"
114,"I don't have access to right kind of space to practice regularly"
115,"Absence of ambience of a gym/studio and fellow members in online mode"
116,"Absence of ambience of a gym/studio and fellow members in online mode"
117,"I don't want to invest in buying any accessories at home"
118,"I don’t think online training is effective"
118,"Absence of ambience of a gym/studio and fellow members in online mode"
118,"I don't want to invest in buying any accessories at home"
118,"I don't have access to right kind of space to practice regularly"
118,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
119,"I don’t think online training is effective"
119,"Absence of ambience of a gym/studio and fellow members in online mode"
119,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
120,"I don’t think online training is effective"
121,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
122,"I don’t think online training is effective"
123,"I don’t think online training is effective"
124,"I don’t think online training is effective"
125,"I don’t think online training is effective"
125,"I don't want to invest in buying any accessories at home"
126,"I don’t think online training is effective"
126,"Absence of ambience of a gym/studio and fellow members in online mode"
126,"I don't want to invest in buying any accessories at home"
127,"Absence of ambience of a gym/studio and fellow members in online mode"
127,"I don't want to invest in buying any accessories at home"
128,"I don’t think online training is effective"
128,"Absence of ambience of a gym/studio and fellow members in online mode"
129,"I don’t think online training is effective"
129,"Absence of ambience of a gym/studio and fellow members in online mode"
130,"I don't want to invest in buying any accessories at home"
131,"I don't want to invest in buying any accessories at home"
132,"I don't want to invest in buying any accessories at home"
133,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
134,"I don't have access to right kind of space to practice regularly"
134,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
135,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
136,"I don’t think online training is effective"
137,"I don't want to invest in buying any accessories at home"
137,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
138,"Absence of ambience of a gym/studio and fellow members in online mode"
139,"I don’t think online training is effective"
139,"Absence of ambience of a gym/studio and fellow members in online mode"
140,"I don’t think online training is effective"
140,"Absence of ambience of a gym/studio and fellow members in online mode"
140,"I don't have access to right kind of space to practice regularly"
140,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
141,"I don’t think online training is effective"
141,"Absence of ambience of a gym/studio and fellow members in online mode"
141,"I don't want to invest in buying any accessories at home"
141,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
142,"I don’t think online training is effective"
142,"Absence of ambience of a gym/studio and fellow members in online mode"
142,"I don't want to invest in buying any accessories at home"
142,"I don't have access to right kind of space to practice regularly"
143,"I don’t think online training is effective"
143,"Absence of ambience of a gym/studio and fellow members in online mode"
143,"I don't have access to right kind of space to practice regularly"
143,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
144,"Absence of ambience of a gym/studio and fellow members in online mode"
145,"Absence of ambience of a gym/studio and fellow members in online mode"
145,"I don't have access to right kind of space to practice regularly"
145,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
146,"I don’t think online training is effective"
146,"I don't have access to right kind of space to practice regularly"
147,"Absence of ambience of a gym/studio and fellow members in online mode"
147,"I don't have access to right kind of space to practice regularly"
148,"Absence of ambience of a gym/studio and fellow members in online mode"
148,"I don't have access to right kind of space to practice regularly"
149,"Absence of ambience of a gym/studio and fellow members in online mode"
149,"I don't want to invest in buying any accessories at home"
149,"I don't have access to right kind of space to practice regularly"
150,"I don’t think online training is effective"
150,"Absence of ambience of a gym/studio and fellow members in online mode"
150,"I don't want to invest in buying any accessories at home"
151,"I don’t think online training is effective"
151,"Absence of ambience of a gym/studio and fellow members in online mode"
152,"Absence of ambience of a gym/studio and fellow members in online mode"
152,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
153,"Absence of ambience of a gym/studio and fellow members in online mode"
153,"I don't have access to right kind of space to practice regularly"
154,"I don’t think online training is effective"
154,"Absence of ambience of a gym/studio and fellow members in online mode"
154,"I don't want to invest in buying any accessories at home"
154,"I don't have access to right kind of space to practice regularly"
154,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
155,"I don’t think online training is effective"
155,"Absence of ambience of a gym/studio and fellow members in online mode"
155,"I don't have access to right kind of space to practice regularly"
155,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
156,"I don’t think online training is effective"
156,"I don't want to invest in buying any accessories at home"
156,"I don't have access to right kind of space to practice regularly"
157,"Absence of ambience of a gym/studio and fellow members in online mode"
157,"I don't want to invest in buying any accessories at home"
157,"I don't have access to right kind of space to practice regularly"
157,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
158,"Absence of ambience of a gym/studio and fellow members in online mode"
158,"I don't have access to right kind of space to practice regularly"
158,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
159,"I don’t think online training is effective"
159,"Absence of ambience of a gym/studio and fellow members in online mode"
159,"I don't want to invest in buying any accessories at home"
159,"I don't have access to right kind of space to practice regularly"
159,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
160,"I don’t think online training is effective"
160,"Absence of ambience of a gym/studio and fellow members in online mode"
160,"I don't want to invest in buying any accessories at home"
160,"I don't have access to right kind of space to practice regularly"
161,"Absence of ambience of a gym/studio and fellow members in online mode"
161,"I don't want to invest in buying any accessories at home"
161,"I don't have access to right kind of space to practice regularly"
161,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
162,"I don’t think online training is effective"
162,"Absence of ambience of a gym/studio and fellow members in online mode"
162,"I don't want to invest in buying any accessories at home"
162,"I don't have access to right kind of space to practice regularly"
162,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
163,"Absence of ambience of a gym/studio and fellow members in online mode"
163,"I don't want to invest in buying any accessories at home"
163,"I don't have access to right kind of space to practice regularly"
164,"I don’t think online training is effective"
164,"I don't have access to right kind of space to practice regularly"
164,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
165,"I don’t think online training is effective"
165,"Absence of ambience of a gym/studio and fellow members in online mode"
165,"I don't have access to right kind of space to practice regularly"
165,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
166,"I don’t think online training is effective"
166,"Absence of ambience of a gym/studio and fellow members in online mode"
166,"I don't want to invest in buying any accessories at home"
166,"I don't have access to right kind of space to practice regularly"
167,"I don’t think online training is effective"
167,"I don't want to invest in buying any accessories at home"
167,"I don't have access to right kind of space to practice regularly"
167,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
168,"Absence of ambience of a gym/studio and fellow members in online mode"
168,"I don't want to invest in buying any accessories at home"
168,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
169,"I don’t think online training is effective"
169,"Absence of ambience of a gym/studio and fellow members in online mode"
169,"I don't have access to right kind of space to practice regularly"
169,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
170,"I don’t think online training is effective"
170,"I don't want to invest in buying any accessories at home"
170,"I don't have access to right kind of space to practice regularly"
170,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
171,"Absence of ambience of a gym/studio and fellow members in online mode"
171,"I don't want to invest in buying any accessories at home"
171,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
172,"I don’t think online training is effective"
172,"I don't want to invest in buying any accessories at home"
172,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
173,"I don’t think online training is effective"
173,"I don't want to invest in buying any accessories at home"
173,"I don't have access to right kind of space to practice regularly"
173,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
174,"I don't want to invest in buying any accessories at home"
174,"I don't have access to right kind of space to practice regularly"
174,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
175,"I don’t think online training is effective"
175,"I don't want to invest in buying any accessories at home"
175,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
176,"Absence of ambience of a gym/studio and fellow members in online mode"
176,"I don't want to invest in buying any accessories at home"
176,"I don't have access to right kind of space to practice regularly"
177,"Absence of ambience of a gym/studio and fellow members in online mode"
177,"I don't want to invest in buying any accessories at home"
177,"I don't have access to right kind of space to practice regularly"
178,"I don't want to invest in buying any accessories at home"
178,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
179,"I don't have access to right kind of space to practice regularly"
179,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
180,"I don't want to invest in buying any accessories at home"
181,"Absence of ambience of a gym/studio and fellow members in online mode"
181,"I don't want to invest in buying any accessories at home"
183,"I don't want to invest in buying any accessories at home"
183,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
184,"I don’t think online training is effective"
185,"I don’t think online training is effective"
186,"I don’t think online training is effective"
187,"I don’t think online training is effective"
187,"I don't want to invest in buying any accessories at home"
188,"Absence of ambience of a gym/studio and fellow members in online mode"
188,"Group n frnds  can help you for motivation"
189,"I don’t think online training is effective"
190,"Absence of ambience of a gym/studio and fellow members in online mode"
191,"Absence of ambience of a gym/studio and fellow members in online mode"
191,"I don't want to invest in buying any accessories at home"
192,"I don't want to invest in buying any accessories at home"
193,"I don’t think online training is effective"
194,"Absence of ambience of a gym/studio and fellow members in online mode"
195,"Absence of ambience of a gym/studio and fellow members in online mode"
196,"I don’t think online training is effective"
197,"Absence of ambience of a gym/studio and fellow members in online mode"
197,"I don't want to invest in buying any accessories at home"
198,"I don’t think online training is effective"
198,"I don't have access to right kind of space to practice regularly"
199,"I don’t think online training is effective"
200,"I don’t think online training is effective"
200,"I don't have access to right kind of space to practice regularly"
201,"I don’t think online training is effective"
201,"Absence of ambience of a gym/studio and fellow members in online mode"
201,"I don't have access to right kind of space to practice regularly"
202,"I don't want to invest in buying any accessories at home"
202,"I don't have access to right kind of space to practice regularly"
202,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
203,"I don't have access to right kind of space to practice regularly"
204,"I don't want to invest in buying any accessories at home"
204,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
205,"Absence of ambience of a gym/studio and fellow members in online mode"
205,"I don't want to invest in buying any accessories at home"
205,"I don't have access to right kind of space to practice regularly"
205,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
206,"I don’t think online training is effective"
206,"I don't want to invest in buying any accessories at home"
206,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
207,"Absence of ambience of a gym/studio and fellow members in online mode"
207,"I don't want to invest in buying any accessories at home"
207,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
208,"I don’t think online training is effective"
208,"I don't have access to right kind of space to practice regularly"
208,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
209,"I don’t think online training is effective"
209,"I don't want to invest in buying any accessories at home"
209,"I don't have access to right kind of space to practice regularly"
209,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
210,"I don’t think online training is effective"
210,"Absence of ambience of a gym/studio and fellow members in online mode"
210,"I don't have access to right kind of space to practice regularly"
210,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
211,"Absence of ambience of a gym/studio and fellow members in online mode"
211,"I don't want to invest in buying any accessories at home"
211,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
212,"I don’t think online training is effective"
212,"Absence of ambience of a gym/studio and fellow members in online mode"
212,"I don't want to invest in buying any accessories at home"
212,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
213,"Absence of ambience of a gym/studio and fellow members in online mode"
215,"I don’t think online training is effective"
215,"Absence of ambience of a gym/studio and fellow members in online mode"
215,"I don't have access to right kind of space to practice regularly"
216,"Absence of ambience of a gym/studio and fellow members in online mode"
216,"I don't have access to right kind of space to practice regularly"
216,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
217,"Absence of ambience of a gym/studio and fellow members in online mode"
217,"I don't have access to right kind of space to practice regularly"
217,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
219,"I don’t think online training is effective"
219,"I don't want to invest in buying any accessories at home"
219,"I don't have access to right kind of space to practice regularly"
220,"I don't want to invest in buying any accessories at home"
220,"I don't have access to right kind of space to practice regularly"
220,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
221,"Absence of ambience of a gym/studio and fellow members in online mode"
221,"I don't have access to right kind of space to practice regularly"
221,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
222,"I don’t think online training is effective"
222,"I don't want to invest in buying any accessories at home"
222,"I don't have access to right kind of space to practice regularly"
223,"I don’t think online training is effective"
223,"I don't have access to right kind of space to practice regularly"
223,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
224,"I don’t think online training is effective"
225,"I don’t think online training is effective"
225,"Absence of ambience of a gym/studio and fellow members in online mode"
225,"I don't want to invest in buying any accessories at home"
226,"I don't want to invest in buying any accessories at home"
227,"I don’t think online training is effective"
228,"I don’t think online training is effective"
229,"I don’t think online training is effective"
229,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
230,"I don’t think online training is effective"
231,"I don't have access to right kind of space to practice regularly"
231,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
232,"I don’t think online training is effective"
232,"I don't want to invest in buying any accessories at home"
232,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
233,"Absence of ambience of a gym/studio and fellow members in online mode"
234,"Absence of ambience of a gym/studio and fellow members in online mode"
234,"I don't have access to right kind of space to practice regularly"
235,"Absence of ambience of a gym/studio and fellow members in online mode"
235,"I don't want to invest in buying any accessories at home"
236,"I don't want to invest in buying any accessories at home"
236,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
237,"Absence of ambience of a gym/studio and fellow members in online mode"
237,"I don't want to invest in buying any accessories at home"
237,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
238,"Absence of ambience of a gym/studio and fellow members in online mode"
238,"I don't have access to right kind of space to practice regularly"
239,"I don't want to invest in buying any accessories at home"
239,"I don't have access to right kind of space to practice regularly"
240,"I don't want to invest in buying any accessories at home"
240,"I don't have access to right kind of space to practice regularly"
240,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
241,"Absence of ambience of a gym/studio and fellow members in online mode"
241,"I don't have access to right kind of space to practice regularly"
241,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
242,"I don’t think online training is effective"
242,"I don't want to invest in buying any accessories at home"
242,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
243,"Absence of ambience of a gym/studio and fellow members in online mode"
243,"I don't want to invest in buying any accessories at home"
243,"I don't have access to right kind of space to practice regularly"
243,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
244,"I have already tried online wellness and fitness service"
244,"and I faced no challenge. I was able to push myself and be was regularly attending it"
244,"than attending offline classes."
